comparison,metric,observed_delta,ci_low,ci_high,raw_p_value,holm_adjusted_p_value,resamples,bootstrap_seed,prediction_files
vipragsent_full_vistral_vs_phobert_finetune,implicit_sentiment,0.07053259677728345,-0.05078875817416584,0.16356505103559105,0.3902439024390244,1.0,40,20260525,runs/vipragsent_full_vistral;runs/phobert_finetune
vipragsent_full_vistral_vs_phobert_finetune,sarcasm,0.12741386033478777,-0.0032694999754217147,0.2267942721598012,0.14634146341463414,0.5853658536585366,40,20260525,runs/vipragsent_full_vistral;runs/phobert_finetune
vipragsent_full_vistral_vs_phobert_finetune,irony,0.03613039181881043,-0.06983330689289363,0.1752996063694458,0.6341463414634146,1.0,40,20260525,runs/vipragsent_full_vistral;runs/phobert_finetune
vipragsent_full_vistral_vs_phobert_finetune,idiom_figurative,0.03248966510944118,-0.17366411177333488,0.1528868403415869,0.7317073170731707,1.0,40,20260525,runs/vipragsent_full_vistral;runs/phobert_finetune
vipragsent_full_vistral_vs_phobert_finetune,code_switching,0.10146689950536318,0.0072172391105888075,0.20596442595639006,0.0975609756097561,0.4878048780487805,40,20260525,runs/vipragsent_full_vistral;runs/phobert_finetune
vipragsent_full_vistral_vs_phobert_finetune,mocking,0.19974314467597795,0.09349565570364315,0.31636400802853193,0.04878048780487805,0.34146341463414637,40,20260525,runs/vipragsent_full_vistral;runs/phobert_finetune
vipragsent_full_vistral_vs_phobert_finetune,macro_prag_f1,0.09462942637027731,0.048426563837696904,0.14574081967045044,0.04878048780487805,0.34146341463414637,40,20260525,runs/vipragsent_full_vistral;runs/phobert_finetune
vipragsent_full_vistral_vs_azure_gpt41_mini_8shot,implicit_sentiment,0.015394270526271256,-0.11412953004161322,0.12696375471954088,0.975609756097561,1.0,40,20260525,runs/vipragsent_full_vistral;runs/azure_gpt41_mini_8shot
vipragsent_full_vistral_vs_azure_gpt41_mini_8shot,sarcasm,0.18197143704302768,0.058574590574981954,0.3616304652580174,0.04878048780487805,0.34146341463414637,40,20260525,runs/vipragsent_full_vistral;runs/azure_gpt41_mini_8shot
vipragsent_full_vistral_vs_azure_gpt41_mini_8shot,irony,0.08178866911658822,-0.016744966498724284,0.26998025278877147,0.2926829268292683,1.0,40,20260525,runs/vipragsent_full_vistral;runs/azure_gpt41_mini_8shot
vipragsent_full_vistral_vs_azure_gpt41_mini_8shot,idiom_figurative,-0.06619154034884363,-0.20156988965339243,0.06562898935755276,0.3902439024390244,1.0,40,20260525,runs/vipragsent_full_vistral;runs/azure_gpt41_mini_8shot
vipragsent_full_vistral_vs_azure_gpt41_mini_8shot,code_switching,-0.016126342647794074,-0.13472287234325875,0.10128163739504838,0.8292682926829268,1.0,40,20260525,runs/vipragsent_full_vistral;runs/azure_gpt41_mini_8shot
vipragsent_full_vistral_vs_azure_gpt41_mini_8shot,mocking,0.17815561698962848,0.050531580736821825,0.38163981837218547,0.04878048780487805,0.34146341463414637,40,20260525,runs/vipragsent_full_vistral;runs/azure_gpt41_mini_8shot
vipragsent_full_vistral_vs_azure_gpt41_mini_8shot,macro_prag_f1,0.06249868511314627,0.017475934303301657,0.13208615823865955,0.04878048780487805,0.34146341463414637,40,20260525,runs/vipragsent_full_vistral;runs/azure_gpt41_mini_8shot
vipragsent_full_vistral_vs_vistral_7b_sft,implicit_sentiment,0.06428904924561137,-0.07787236734158137,0.18746935341148266,0.43902439024390244,1.0,40,20260525,runs/vipragsent_full_vistral;runs/vistral_7b_sft
vipragsent_full_vistral_vs_vistral_7b_sft,sarcasm,0.10674598502813253,-0.01359492516987773,0.19380153730569968,0.1951219512195122,1.0,40,20260525,runs/vipragsent_full_vistral;runs/vistral_7b_sft
vipragsent_full_vistral_vs_vistral_7b_sft,irony,0.057494764985605275,-0.0718597630439735,0.21169234826976985,0.5365853658536586,1.0,40,20260525,runs/vipragsent_full_vistral;runs/vistral_7b_sft
vipragsent_full_vistral_vs_vistral_7b_sft,idiom_figurative,0.009513359968365035,-0.1649063196717098,0.1211668326962236,1.0,1.0,40,20260525,runs/vipragsent_full_vistral;runs/vistral_7b_sft
vipragsent_full_vistral_vs_vistral_7b_sft,code_switching,0.004556735834083596,-0.08805329539642322,0.11511986090061807,0.7804878048780488,1.0,40,20260525,runs/vipragsent_full_vistral;runs/vistral_7b_sft
vipragsent_full_vistral_vs_vistral_7b_sft,mocking,0.1288834309679333,0.003322686196995144,0.2340413458984487,0.0975609756097561,0.6829268292682927,40,20260525,runs/vipragsent_full_vistral;runs/vistral_7b_sft
vipragsent_full_vistral_vs_vistral_7b_sft,macro_prag_f1,0.061913887671621835,-0.005579405571732556,0.10718187313670775,0.1951219512195122,1.0,40,20260525,runs/vipragsent_full_vistral;runs/vistral_7b_sft
