question,system,scope,backbone,run_id,seed,artifact_id,status,note,metric_name,inference_output_source,truncation_rate,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking,macro_pragmatic_f1,ece
Q1a,PhoBERT (single-task),baseline,PhoBERT-base,q1a_phobert_pragmatic_single_task_20260521,21,metric::q1a_phobert_pragmatic_single_task_20260521,METRIC_FOUND,,,,,0.8651741904013113,0.6938381758398816,0.9595437693070137,0.9211057813683413,0.9096699273960401,0.8224394924791791,0.8619618894652946,
Q1a,PhoBERT (single-task),baseline,PhoBERT-base,q1a_phobert_pragmatic_single_task_20260522,22,metric::q1a_phobert_pragmatic_single_task_20260522,METRIC_FOUND,,,,,0.8863827447202062,0.7196694125554328,0.9742716654841528,0.9074402021203749,0.8963569466756491,0.762834159693526,0.8578258552082235,
Q1a,PhoBERT (single-task),baseline,PhoBERT-base,q1a_phobert_pragmatic_single_task_20260523,23,metric::q1a_phobert_pragmatic_single_task_20260523,METRIC_FOUND,,,,,0.8884870403857745,0.7127107207392667,0.9800035193805889,0.9078341013824884,0.9264954785047632,0.789430493713297,0.8674935590176965,
Q1a,PhoBERT (fine-tune),baseline,PhoBERT-base,q1a_phobert_pragmatic_finetune_20260521,21,metric::q1a_phobert_pragmatic_finetune_20260521,METRIC_FOUND,,,,,0.8499214294542436,0.7256472682530957,0.9764918838228899,0.8667873416630425,0.9122790055834884,0.7737005957742695,0.8508045874251716,
Q1a,PhoBERT (fine-tune),baseline,PhoBERT-base,q1a_phobert_pragmatic_finetune_20260522,22,metric::q1a_phobert_pragmatic_finetune_20260522,METRIC_FOUND,,,,,0.8641199521425865,0.72182062523753,0.9742716654841528,0.8726983405319391,0.9228341474330779,0.7922812651704694,0.858004332666626,
Q1a,PhoBERT (fine-tune),baseline,PhoBERT-base,q1a_phobert_pragmatic_finetune_20260523,23,metric::q1a_phobert_pragmatic_finetune_20260523,METRIC_FOUND,,,,,0.858658760437329,0.7317596566523605,0.9727579819112999,0.8594837114903732,0.9168593475178932,0.7897982062780269,0.8548862773812139,
Q1a,XLM-R-large (baseline),baseline,XLM-R-large,q1a_xlmr_pragmatic_finetune_20260521,21,metric::q1a_xlmr_pragmatic_finetune_20260521,METRIC_FOUND,,,,,0.9201465753971598,0.8861930093138173,0.9786671010820628,0.9351439613305408,0.9431662469156852,0.9227694625551417,0.9310143927657345,
Q1a,XLM-R-large (baseline),baseline,XLM-R-large,q1a_xlmr_pragmatic_finetune_20260522,22,metric::q1a_xlmr_pragmatic_finetune_20260522,METRIC_FOUND,,,,,0.9221679992617079,0.8787125335435649,0.9804099031857416,0.9287199744933098,0.9423938105566759,0.9186079932037674,0.9285020357074613,
Q1a,XLM-R-large (baseline),baseline,XLM-R-large,q1a_xlmr_pragmatic_finetune_20260523,23,metric::q1a_xlmr_pragmatic_finetune_20260523,METRIC_FOUND,,,,,0.9225957042118833,0.8787855053572144,0.9788086410655785,0.9216396127429661,0.9423938105566759,0.9268432554751314,0.9285110882349082,
Q1a,Sailor-7B SFT,baseline,Sailor-7B,q1a_sailor_pragmatic_sft_20260521,21,metric::q1a_sailor_pragmatic_sft_20260521,METRIC_FOUND,,,,,0.8526873788212044,0.7281939187334889,0.96265249820388,0.9074402021203749,0.9092142300482742,0.7788296853717414,0.8565029855498274,
Q1a,Sailor-7B SFT,baseline,Sailor-7B,q1a_sailor_pragmatic_sft_20260522,22,metric::q1a_sailor_pragmatic_sft_20260522,METRIC_FOUND,,,,,0.8510245535464454,0.7197963853733713,0.9592735566112108,0.9155145929339478,0.9103924157751635,0.778281980976594,0.8557139142027888,
Q1a,Sailor-7B SFT,baseline,Sailor-7B,q1a_sailor_pragmatic_sft_20260523,23,metric::q1a_sailor_pragmatic_sft_20260523,METRIC_FOUND,,,,,0.8532023898650929,0.7192648545768155,0.9701087741707926,0.9122535947413197,0.8947653266784931,0.7773417894784871,0.8544894549185001,
Q1a,Vistral-7B SFT,baseline,Vistral-7B,q1a_vistral_pragmatic_sft_20260521,21,metric::q1a_vistral_pragmatic_sft_20260521,METRIC_FOUND,,,,,0.8768167114013106,0.7655285890580008,0.9703134601740224,0.911335727268697,0.9352937340940799,0.7984032503599019,0.8762819120593356,
Q1a,Vistral-7B SFT,baseline,Vistral-7B,q1a_vistral_pragmatic_sft_20260522,22,metric::q1a_vistral_pragmatic_sft_20260522,METRIC_FOUND,,,,,0.8810089976389882,0.7520184367119285,0.9701087741707926,0.9182739457339,0.9269708735500675,0.8159020887893396,0.8773805194325028,
Q1a,Vistral-7B SFT,baseline,Vistral-7B,q1a_vistral_pragmatic_sft_20260523,23,metric::q1a_vistral_pragmatic_sft_20260523,METRIC_FOUND,,,,,0.8726798588740605,0.744567384370016,0.9701087741707926,0.9160147813984738,0.9342234116549242,0.8204723774769774,0.8763444313242075,
Q1a,ViPragSent (XLM-R-large),primary,XLM-R-large,q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260521,21,metric::q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260521,METRIC_FOUND,,,,,0.929099160048944,0.8832615957010141,0.9824283099450885,0.937311690194373,0.9484519730998604,0.9417225933445962,0.9370458870556461,
Q1a,ViPragSent (XLM-R-large),primary,XLM-R-large,q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260522,22,metric::q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260522,METRIC_FOUND,,,,,0.9243886062703017,0.8992310185937784,0.9842211562736682,0.937311690194373,0.9539847043199061,0.9306958140271673,0.9383054982798659,
Q1a,ViPragSent (XLM-R-large),primary,XLM-R-large,q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260523,23,metric::q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260523,METRIC_FOUND,,,,,0.9265923130043232,0.8983246156105607,0.986333129957291,0.9258492400973086,0.9427059587259553,0.9279372766055575,0.9346237556668328,
Q1a,ViPragSent-no-aux (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_no_auxiliary_vistral_20260521,21,metric::q1a_vipragsent_no_auxiliary_vistral_20260521,METRIC_FOUND,Discovered in HF but excluded from primary scope because this ViPragSent variant is not XLM-R-large.,,,,0.8786826396318967,0.741252670940171,0.9701087741707926,0.895820126568718,0.917084446457787,0.8099581908019764,0.8688178080952236,
Q1a,ViPragSent-no-aux (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_no_auxiliary_vistral_20260522,22,metric::q1a_vipragsent_no_auxiliary_vistral_20260522,METRIC_FOUND,Discovered in HF but excluded from primary scope because this ViPragSent variant is not XLM-R-large.,,,,0.8257733021551235,0.669948842070521,0.9618746055777452,0.875602728701991,0.9158705144620638,0.7048185914182813,0.8256480973976209,
Q1a,ViPragSent-no-aux (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_no_auxiliary_vistral_20260523,23,metric::q1a_vipragsent_no_auxiliary_vistral_20260523,METRIC_FOUND,Discovered in HF but excluded from primary scope because this ViPragSent variant is not XLM-R-large.,,,,0.8775095421578887,0.7445006813315165,0.9720049271328246,0.9200140775223561,0.9303297372370894,0.7846635367762128,0.871503750359648,
Q1a,ViPragSent full (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_full_vistral_20260521,21,metric::q1a_vipragsent_full_vistral_20260521,METRIC_FOUND,Discovered in HF but excluded from primary scope because this ViPragSent variant is not XLM-R-large.,,,,0.7859265551694126,0.6375618086558452,0.9112412905516354,0.5382487964090338,0.4783902159964421,0.673842755688705,0.6708685704118457,0.08233169685304166
Q1a,ViPragSent full (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_full_vistral_20260522,22,metric::q1a_vipragsent_full_vistral_20260522,METRIC_FOUND,Discovered in HF but excluded from primary scope because this ViPragSent variant is not XLM-R-large.,,,,0.8830527653279896,0.7811059907834101,0.9703134601740224,0.9182739457339,0.9438863432649583,0.8357580992536584,0.88873176742299,0.040289212301373445
Q1a,ViPragSent full (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_full_vistral_20260523,23,metric::q1a_vipragsent_full_vistral_20260523,METRIC_FOUND,Discovered in HF but excluded from primary scope because this ViPragSent variant is not XLM-R-large.,,,,0.8788082610348865,0.7590253186788053,0.9610828313018571,0.9248670001415968,0.928529434369216,0.804809371165055,0.8761870361152361,0.03133545735478398
Q1a,ViPragSent-CoT-only (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_cot_only_vistral_clean_rerun_003__seed_20260521,21,metric::q1a_cot_only_vistral_clean_rerun_003__seed_20260521,METRIC_FOUND,"Direct reasoning metric uses the HF all-zero-fallback metric; excluded because the ViPragSent backbone is Vistral, not XLM-R-large.",full_split_macro_pragmatic_f1_all_zero_fallback,,0.0,0.17355371900826447,0.4824016563146998,0.481999481999482,0.48173101839854887,0.4591671173607355,0.4690735333156358,0.42465442106622775,
Q1a,ViPragSent-CoT-only (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_cot_only_vistral_clean_rerun_003__seed_20260523,23,metric::q1a_cot_only_vistral_clean_rerun_003__seed_20260523,METRIC_FOUND,"Direct reasoning metric uses the HF all-zero-fallback metric; excluded because the ViPragSent backbone is Vistral, not XLM-R-large.",full_split_macro_pragmatic_f1_all_zero_fallback,,0.0,0.17355371900826447,0.4824016563146998,0.481999481999482,0.48173101839854887,0.4591671173607355,0.4690735333156358,0.42465442106622775,
Q1a,ViPragSent-explanation-only (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_explanation_only_vistral_20260521,21,metric::q1a_explanation_only_vistral_20260521,METRIC_FOUND,"Direct reasoning metric uses the HF all-zero-fallback metric; excluded because the ViPragSent backbone is Vistral, not XLM-R-large.",full_split_macro_pragmatic_f1_all_zero_fallback,judge_of_rationale_decoder_output,1.0,0.441340782122905,0.4824016563146998,0.481999481999482,0.48173101839854887,0.4591671173607355,0.4690735333156358,0.46928559825200117,
Q1a,ViPragSent-explanation-only (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_explanation_only_vistral_20260522,22,metric::q1a_explanation_only_vistral_20260522,METRIC_FOUND,"Direct reasoning metric uses the HF all-zero-fallback metric; excluded because the ViPragSent backbone is Vistral, not XLM-R-large.",full_split_macro_pragmatic_f1_all_zero_fallback,judge_of_rationale_decoder_output,1.0,0.441340782122905,0.4824016563146998,0.481999481999482,0.48173101839854887,0.46227733534461724,0.4690735333156358,0.4698039679159815,
Q1a,ViPragSent-explanation-only (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_explanation_only_vistral_20260523,23,metric::q1a_explanation_only_vistral_20260523,METRIC_FOUND,"Direct reasoning metric uses the HF all-zero-fallback metric; excluded because the ViPragSent backbone is Vistral, not XLM-R-large.",full_split_macro_pragmatic_f1_all_zero_fallback,judge_of_rationale_decoder_output,1.0,0.441340782122905,0.4824016563146998,0.481999481999482,0.48173101839854887,0.4590208276981336,0.4690735333156358,0.4692612166415675,
Q2,ViPragSent XLM-R: Full,primary,XLM-R-large,xlmr_followup_q2_full_20260521,21,metric::xlmr_followup_q2_full_20260521,METRIC_FOUND,,,,,0.899976139346218,0.8702879226610813,0.9804099031857416,0.9296518431692415,0.9431662469156852,0.9028934747412141,0.921064255003197,0.08452923804521562
Q2,ViPragSent XLM-R: Full,primary,XLM-R-large,xlmr_followup_q2_full_20260522,22,metric::xlmr_followup_q2_full_20260522,METRIC_FOUND,,,,,0.9239992952661924,0.879553681534375,0.9768052296475556,0.9313289002323373,0.9487377660707104,0.9227694625551417,0.9305323892177187,0.07745010578632355
Q2,ViPragSent XLM-R: Full,primary,XLM-R-large,xlmr_followup_q2_full_20260523,23,metric::xlmr_followup_q2_full_20260523,METRIC_FOUND,,,,,0.9210923204961953,0.872428763061555,0.9804099031857416,0.9402788975484487,0.9440408129004579,0.9287766642363265,0.9311712269047875,0.07280974346399306
Q2,ViPragSent XLM-R: − emotion auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_emotion_auxiliary_20260521,21,metric::xlmr_followup_q2_no_emotion_auxiliary_20260521,METRIC_FOUND,,,,,0.8894762732021992,0.8522604156406973,0.967887417062171,0.9351332863541073,0.943574161123488,0.8767730215068419,0.910850762481584,0.030567316412925732
Q2,ViPragSent XLM-R: − emotion auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_emotion_auxiliary_20260522,22,metric::xlmr_followup_q2_no_emotion_auxiliary_20260522,METRIC_FOUND,,,,,0.9216251561734021,0.8880197085312984,0.9712929373927671,0.9346896123828494,0.9351021187249475,0.8936189489201447,0.9240580803542349,0.07691690023243428
Q2,ViPragSent XLM-R: − emotion auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_emotion_auxiliary_20260523,23,metric::xlmr_followup_q2_no_emotion_auxiliary_20260523,METRIC_FOUND,,,,,0.9003129936518215,0.8687130490759092,0.9804099031857416,0.9243651765636772,0.9444867402613881,0.8843709781209781,0.9171098068099193,0.07786980956792833
Q2,ViPragSent XLM-R: − polarity auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_polarity_auxiliary_20260521,21,metric::xlmr_followup_q2_no_polarity_auxiliary_20260521,METRIC_FOUND,,,,,0.9216395418927065,0.8863372566244669,0.9804099031857416,0.9251676245210728,0.9419174430286411,0.9258073240137759,0.9302131822110674,
Q2,ViPragSent XLM-R: − polarity auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_polarity_auxiliary_20260522,22,metric::xlmr_followup_q2_no_polarity_auxiliary_20260522,METRIC_FOUND,,,,,0.914116389626363,0.8664196344838628,0.9823090780965748,0.9355704697986578,0.9449455951405312,0.9167236562857237,0.9266808039052856,
Q2,ViPragSent XLM-R: − polarity auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_polarity_auxiliary_20260523,23,metric::xlmr_followup_q2_no_polarity_auxiliary_20260523,METRIC_FOUND,,,,,0.917165209387943,0.8796478171796454,0.9824283099450885,0.9258492400973086,0.9452482308334588,0.913369767533959,0.9272847624962339,
Q2,ViPragSent XLM-R: − explanation/CoT auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_rationale_20260521,21,metric::xlmr_followup_q2_no_rationale_20260521,METRIC_FOUND,,,,,0.890559856190994,0.8339568877093282,0.9763317344105025,0.9304156889426665,0.9379344587884806,0.8818573037323036,0.9085093216290457,0.04424364565312865
Q2,ViPragSent XLM-R: − explanation/CoT auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_rationale_20260522,22,metric::xlmr_followup_q2_no_rationale_20260522,METRIC_FOUND,,,,,0.9248350974075779,0.8688700097628972,0.9821880761044135,0.9412297095572246,0.9486712388002823,0.9254096935792284,0.9318673042019373,0.08403081753849978
Q2,ViPragSent XLM-R: − explanation/CoT auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_rationale_20260523,23,metric::xlmr_followup_q2_no_rationale_20260523,METRIC_FOUND,,,,,0.9134109171515656,0.8688101940183153,0.9804099031857416,0.9398800121403588,0.9458552435012756,0.9290629211889054,0.9295715318643604,0.07688652858138087
Q2,ViPragSent XLM-R: − task-uncertainty weighting,primary,XLM-R-large,xlmr_followup_q2_no_uncertainty_weighting_20260521,21,metric::xlmr_followup_q2_no_uncertainty_weighting_20260521,METRIC_FOUND,,,,,0.9206097173705938,0.8692631135081585,0.9785234899328858,0.9221656626037142,0.9429806193091217,0.9199701381112355,0.9255854568059516,0.08985356684029104
Q2,ViPragSent XLM-R: − task-uncertainty weighting,primary,XLM-R-large,xlmr_followup_q2_no_uncertainty_weighting_20260522,22,metric::xlmr_followup_q2_no_uncertainty_weighting_20260522,METRIC_FOUND,,,,,0.9279761177716702,0.878631307921041,0.9843279225485932,0.9171610514381708,0.9460042931495647,0.9293412841212201,0.9305736628250433,0.06945975990593437
Q2,ViPragSent XLM-R: − task-uncertainty weighting,primary,XLM-R-large,xlmr_followup_q2_no_uncertainty_weighting_20260523,23,metric::xlmr_followup_q2_no_uncertainty_weighting_20260523,METRIC_FOUND,,,,,0.9232804670564821,0.8800211162835341,0.9821880761044135,0.937311690194373,0.9487377660707104,0.9129416234012917,0.9307467898518008,0.0856076027303934
Q2,ViPragSent XLM-R: − multi-task bundle,primary,XLM-R-large,xlmr_followup_q2_no_multitask_20260521,21,metric::xlmr_followup_q2_no_multitask_20260521,METRIC_FOUND,,,,,0.8892699458358482,0.7762042136550398,0.966583814182419,0.5474412205115433,0.9334543254688445,0.4690735333156358,0.7636711754948885,0.051631503850221624
